contig,gene,intron,conf,strand
537,945.708860759,114.721518987,98.2275949367,0.683544303797
538,1073.38461538,111.051282051,99.9448717949,0.794871794872
539,508.027027027,182.594594595,98.0978378378,0.675675675676
540,885.359375,49.625,99.74515625,0.828125
544,970.363636364,103.696969697,99.9963636364,0.575757575758
545,1076.70588235,97.1764705882,99.1879411765,0.705882352941
546,954.571428571,174.047619048,98.7504761905,0.714285714286
547,897.32,52.24,99.5589333333,0.706666666667
549,1023.28571429,124.25,99.4642857143,0.571428571429
550,827.0,73.9615384615,97.9138461538,0.615384615385
552,882.375,84.4166666667,99.9966666667,0.833333333333
555,982.4,95.62,99.378,0.76
556,757.290909091,109.109090909,96.9461818182,0.654545454545
557,1129.5,102.238095238,97.9261904762,0.880952380952
558,1045.69230769,77.358974359,98.8712820513,0.923076923077
559,940.0,80.6363636364,99.5290909091,0.666666666667
561,952.582278481,66.4430379747,99.3215189873,0.696202531646
562,1054.71153846,149.980769231,95.2336538462,0.480769230769
563,1067.97058824,126.264705882,99.9782352941,0.5
564,1004.47826087,101.333333333,97.0839130435,0.666666666667
565,1156.60869565,131.47826087,99.542173913,0.652173913043
568,1064.77142857,97.7142857143,99.8397142857,0.714285714286
569,845.76,160.04,99.0008,0.68
570,1446.125,126.125,98.7665625,0.6875
574,949.138297872,57.6170212766,99.7037234043,0.787234042553
575,839.285714286,149.031746032,99.049047619,0.698412698413
576,837.678571429,133.071428571,98.4455952381,0.809523809524
578,973.604395604,54.1318681319,99.226043956,0.835164835165
580,970.375,49.1666666667,98.8620833333,0.75
582,1005.10869565,129.304347826,98.3645652174,0.782608695652
583,1525.09302326,130.534883721,97.6262790698,0.581395348837
591,946.647058824,47.4705882353,99.8067647059,0.794117647059
592,1104.34482759,115.396551724,99.7282758621,0.793103448276
595,1065.46666667,203.844444444,98.1335555556,0.555555555556
598,950.133333333,90.5111111111,99.5213333333,0.6
599,1264.30769231,70.1794871795,99.7451282051,0.897435897436
600,787.23255814,87.7209302326,97.6944186047,0.651162790698
602,1246.25,125.25,99.9946428571,0.75
605,1055.4,64.1166666667,98.9256666667,0.9
607,927.783783784,31.8918918919,99.9948648649,0.648648648649
612,959.363636364,111.848484848,98.8496969697,0.787878787879
613,956.0,385.826086957,98.5960869565,0.652173913043
618,1038.65789474,96.2105263158,99.9955263158,0.5
620,455.292682927,99.756097561,97.9429268293,0.90243902439
621,968.951219512,72.3902439024,98.6024390244,0.682926829268
622,875.19047619,86.1428571429,99.1979365079,0.714285714286
625,920.984375,145.46875,98.0678125,0.59375
627,638.77027027,146.472972973,97.9575675676,0.756756756757
629,773.970588235,66.7058823529,98.5732352941,0.588235294118
634,774.390243902,101.658536585,98.0395121951,0.585365853659
636,867.032258065,123.182795699,98.7839784946,0.516129032258
638,819.459459459,117.581081081,98.8985135135,0.554054054054
644,956.243243243,116.324324324,99.6245945946,0.864864864865
647,802.04,198.76,99.7064,0.84
648,1564.0,127.375,96.6983333333,0.875
649,979.488636364,67.4772727273,99.0585227273,0.681818181818
650,1029.725,78.1125,98.249875,0.7375
651,962.46875,223.3125,97.7653125,0.8125
652,499.086956522,134.130434783,93.6430434783,0.847826086957
657,981.034482759,52.8620689655,99.734137931,0.827586206897
658,640.136363636,158.984848485,97.358030303,0.727272727273
661,921.185185185,143.234567901,99.7569135802,0.716049382716
662,865.454545455,121.623376623,97.8367532468,0.753246753247
663,1106.7826087,59.6086956522,99.9039130435,0.608695652174
666,976.513513514,228.648648649,95.7027027027,0.702702702703
667,1141.54166667,115.777777778,99.7554166667,0.680555555556
668,989.642857143,113.19047619,99.694047619,0.738095238095
669,924.777777778,90.4074074074,98.5425925926,0.592592592593
671,1049.80769231,115.423076923,95.9242307692,0.769230769231
674,894.661538462,122.723076923,99.8247692308,0.738461538462
676,1166.67164179,117.71641791,99.1335820896,0.731343283582
677,936.47826087,26.1594202899,99.9089855072,0.753623188406
681,1014.30909091,140.890909091,98.5829090909,0.781818181818
683,1078.51785714,15.1607142857,99.8232142857,0.785714285714
684,940.423076923,171.423076923,98.7825,0.673076923077
686,911.714285714,146.523809524,98.0857142857,0.857142857143
687,705.619047619,108.904761905,98.4261904762,0.587301587302
691,843.8,151.0,96.6297142857,0.742857142857
693,1026.01351351,168.932432432,98.6308108108,0.635135135135
694,917.6,213.971428571,99.2005714286,0.6
696,941.0,168.285714286,97.6678571429,0.357142857143
697,996.178571429,122.910714286,99.9385714286,0.767857142857
698,1155.17391304,96.1739130435,99.35,0.826086956522
699,877.083333333,183.0,98.8686111111,0.75
700,1084.29411765,73.4509803922,99.0445098039,0.843137254902
705,692.849056604,86.6981132075,95.4479245283,0.735849056604
706,753.0,49.8333333333,99.5135714286,0.738095238095
708,665.333333333,72.1851851852,96.5727777778,0.851851851852
712,865.1,55.1857142857,99.2991428571,0.885714285714
713,872.59375,76.25,99.3382291667,0.604166666667
714,798.538461538,58.3846153846,97.1075641026,0.884615384615
719,1102.7804878,127.365853659,98.6151219512,0.853658536585
722,897.090909091,115.386363636,98.4665909091,0.818181818182
725,882.117647059,88.2745098039,99.2837254902,0.745098039216
726,787.735294118,108.0,99.1105882353,0.676470588235
728,936.209677419,191.709677419,98.8758064516,0.661290322581
731,864.266666667,126.288888889,98.0353333333,0.866666666667
733,1071.43478261,136.304347826,99.9591304348,0.695652173913
735,1004.94117647,82.6078431373,99.7825490196,0.56862745098
737,1023.97468354,107.860759494,99.7718987342,0.683544303797
741,683.369863014,220.164383562,97.6232876712,0.698630136986
747,735.0,99.0666666667,98.6865333333,0.786666666667
750,906.296296296,122.950617284,99.7360493827,0.617283950617
751,1043.40384615,89.8076923077,99.9565384615,0.769230769231
759,910.382352941,52.8529411765,99.9429411765,0.852941176471
760,804.216216216,157.094594595,97.9801351351,0.608108108108
764,889.414634146,116.87804878,99.2463414634,0.585365853659
765,950.805970149,147.358208955,99.1458208955,0.671641791045
768,1312.38235294,86.5588235294,99.9926470588,0.705882352941
770,774.146067416,289.617977528,96.2213483146,0.674157303371
776,1085.45652174,96.5869565217,99.1358695652,0.673913043478
777,996.826086957,49.9782608696,99.6260869565,0.739130434783
778,732.147058824,204.029411765,94.1623529412,0.676470588235
779,988.8125,100.234375,99.7003125,0.75
782,797.139534884,124.302325581,97.756744186,0.953488372093
783,979.625,150.5,98.7741666667,0.75
785,931.22,98.6,99.4398,0.84
789,769.88,199.72,97.6304,0.72
790,499.236842105,125.48245614,94.5169298246,0.80701754386
795,836.573033708,125.426966292,99.6737078652,0.685393258427
796,1170.73239437,82.3098591549,99.2650704225,0.718309859155
799,887.983606557,216.06557377,97.8181967213,0.655737704918
804,1021.49230769,57.3846153846,98.9207692308,0.738461538462
805,726.625,16.875,99.99375,1.0
808,834.866666667,113.888888889,99.9906666667,0.511111111111
810,994.225806452,83.5806451613,99.9951612903,0.677419354839
814,1014.52054795,203.232876712,99.6467123288,0.876712328767
815,979.934782609,139.630434783,99.5763043478,0.630434782609
816,965.734693878,89.1020408163,99.4218367347,0.632653061224
817,1062.28571429,99.2857142857,99.7663636364,0.701298701299
819,818.771428571,106.628571429,99.938,0.942857142857
820,999.967213115,102.62295082,99.9518032787,0.72131147541
823,1069.74137931,97.1034482759,99.805,0.931034482759
826,991.576470588,71.6352941176,99.9589411765,0.705882352941
827,1087.83928571,96.2321428571,99.4871428571,0.767857142857
828,774.081967213,132.147540984,98.3660655738,0.737704918033
830,637.318181818,45.5,99.0913636364,0.954545454545
831,931.741935484,131.913978495,98.0550537634,0.602150537634
832,1040.91525424,59.4745762712,99.9844067797,0.728813559322
833,950.365853659,232.743902439,97.8953658537,0.682926829268
834,1145.73684211,146.368421053,99.458245614,0.859649122807
836,1039.7826087,105.507246377,98.6747826087,0.68115942029
838,910.04,38.0,99.3008,0.72
839,968.47826087,114.565217391,99.5192753623,0.797101449275
840,950.454545455,250.666666667,98.4990909091,0.666666666667
842,1086.6097561,100.829268293,98.523902439,0.90243902439
844,873.0,125.266666667,97.9433333333,0.766666666667
846,858.483146067,141.359550562,99.368988764,0.516853932584
849,954.108695652,92.9565217391,98.4276086957,0.826086956522
850,986.103448276,344.413793103,98.7837931034,0.758620689655
854,874.068965517,119.413793103,99.9282758621,0.586206896552
857,897.408163265,74.3469387755,99.9795918367,0.734693877551
858,781.5,235.333333333,98.9716666667,0.625
859,1059.70149254,135.164179104,99.2697014925,0.611940298507
866,492.640625,133.03125,94.81828125,0.6875
867,1147.44186047,90.7906976744,99.9979069767,0.604651162791
868,999.046511628,84.8139534884,99.9939534884,0.627906976744
869,1232.125,144.416666667,96.0770833333,0.583333333333
875,926.557142857,155.1,99.7168571429,0.7
880,854.166666667,78.8055555556,99.1761111111,0.944444444444
881,1116.55844156,76.4025974026,99.8054545455,0.779220779221
883,876.263157895,115.694736842,98.9487368421,0.663157894737
884,980.6375,25.9375,99.607125,0.825
887,972.432835821,60.7014925373,99.9917910448,0.597014925373
891,876.931506849,167.98630137,97.6224657534,0.575342465753
893,597.655172414,120.275862069,96.6087931034,0.862068965517
894,977.780821918,91.2876712329,99.9891780822,0.808219178082
898,805.662921348,164.337078652,99.2956179775,0.831460674157
899,1070.80769231,213.192307692,99.8407692308,0.75
903,886.25,102.083333333,99.2745,0.716666666667
904,993.14084507,203.605633803,97.4570422535,0.633802816901
905,1174.46153846,68.8717948718,99.3438461538,0.846153846154
908,791.705882353,38.9882352941,99.226,0.905882352941
916,642.815789474,135.447368421,99.8915789474,0.815789473684
918,888.292307692,61.7846153846,98.9104615385,0.569230769231
924,1012.76,120.306666667,98.5628,0.84
926,871.910891089,111.188118812,99.8321782178,0.613861386139
928,829.424657534,145.712328767,97.5046575342,0.534246575342
929,912.2,128.64,99.45,0.8
931,861.363636364,75.2545454545,98.9345454545,0.818181818182
937,858.3125,105.208333333,98.7547916667,0.645833333333
938,862.014285714,118.614285714,98.2441428571,0.728571428571
939,999.666666667,63.8888888889,99.757037037,0.555555555556
940,958.238095238,50.253968254,99.786984127,0.650793650794
943,726.965517241,139.0,99.5306896552,0.689655172414
945,1015.82857143,98.6142857143,99.8855714286,0.771428571429
946,616.5,50.5555555556,97.6147222222,0.888888888889
948,971.888888889,111.314814815,99.1316666667,0.574074074074
951,565.829268293,138.300813008,96.8113821138,0.764227642276
953,1197.0,19.1333333333,98.8555,0.866666666667
954,877.25,132.46875,99.37390625,0.65625
956,1122.16666667,157.138888889,99.4727777778,0.75
958,956.055555556,145.388888889,95.7811111111,0.814814814815
959,1404.28571429,132.428571429,99.4704761905,0.571428571429
963,1021.2962963,143.395061728,99.9950617284,0.79012345679
966,1019.04,113.2,99.5842666667,0.773333333333
967,935.0,180.586956522,99.5876086957,0.652173913043
972,1031.19480519,177.987012987,99.1683116883,0.792207792208
973,888.046511628,100.186046512,99.0272093023,0.720930232558
974,1365.55555556,117.740740741,98.732962963,0.555555555556
977,775.543478261,80.2826086957,98.0876086957,0.695652173913
978,1024.015625,72.640625,98.626875,0.765625
979,1060.28571429,62.6428571429,99.0692857143,0.595238095238
980,905.586956522,248.760869565,97.4093478261,0.695652173913
985,912.703703704,97.5925925926,98.7741975309,0.666666666667
988,1079.10344828,155.448275862,99.9151724138,0.793103448276
989,840.936708861,98.3924050633,99.7349367089,0.683544303797
995,936.2,132.916666667,99.7166666667,0.816666666667
1000,911.580645161,101.870967742,97.7574193548,0.870967741935
1001,925.555555556,109.518518519,99.8666666667,0.703703703704
1002,797.826530612,214.255102041,98.1851020408,0.857142857143
1006,942.864864865,88.7837837838,99.9959459459,0.891891891892
1007,996.611940299,58.1343283582,99.8823880597,0.850746268657
1012,857.84,263.52,98.8716,0.56
1022,827.75862069,140.551724138,98.7414942529,0.816091954023
1025,986.75,76.3,98.6575,0.625
1027,1012.04545455,80.6818181818,98.8843181818,0.590909090909
1029,1040.39622642,126.471698113,99.9930188679,0.660377358491
1030,922.769230769,209.2,99.0384615385,0.661538461538
1032,687.692307692,59.4615384615,98.1243589744,0.948717948718
1033,1227.15384615,93.7076923077,98.4150769231,0.738461538462
1034,906.75862069,270.517241379,97.3827586207,0.655172413793
1036,1053.75,145.291666667,98.2425,0.541666666667
1037,709.896551724,116.034482759,96.1968965517,0.896551724138
1039,1030.125,157.541666667,99.7541666667,0.708333333333
1041,1069.56097561,119.682926829,99.7252439024,0.768292682927
1043,845.818181818,98.5454545455,98.3133333333,0.727272727273
1044,1180.82352941,58.1960784314,99.4778431373,0.725490196078
1045,906.810344828,149.896551724,97.4884482759,0.896551724138
1046,1133.0,53.8793103448,99.970862069,0.724137931034
1048,877.840425532,144.095744681,98.5265957447,0.670212765957
1049,1059.52112676,183.816901408,99.1777464789,0.661971830986
1051,852.1,101.166666667,97.0826666667,0.733333333333
